مزرعه,مساحت (ha),PN1,PE1,PN2,PE2,PN3,PE3,PN4,PE4,PN9,PE9,PN10,PE10,PN11,PE11
14-08,23.90,3490335.34,284453.51,3490366.70,284207.00,3489412.65,284085.62,3489381.29,284332.13,,,,,,
14-09,23.90,3489344.71,284072.94,3489376.07,283826.43,3488422.02,283705.05,3488390.66,283951.57,,,,,,
14-10,23.90,3490367.21,284203.03,3490398.57,283956.52,3489444.52,283835.14,3489413.16,284081.65,,,,,,
14-11,23.90,3489377.33,283816.50,3489408.70,283569.99,3488454.65,283448.61,3488423.28,283695.12,,,,,,
14-12,23.90,3490399.83,283946.59,3490431.20,283700.08,3489477.15,283578.70,3489445.78,283825.21,,,,,,
14-13,23.90,3489409.20,283566.02,3489440.56,283319.51,3488486.51,283198.13,3488455.15,283444.64,,,,,,
14-14,23.90,3490431.70,283696.11,3490463.06,283449.60,3489509.01,283328.22,3489477.65,283574.73,,,,,,
14-15,23.11,3489441.83,283309.59,3489472.15,283071.26,3488518.10,282949.88,3488487.78,283188.21,,,,,,
14-16,23.11,3490464.33,283439.68,3490494.65,283201.35,3489540.60,283079.97,3489510.28,283318.30,,,,,,
14-17,23.11,3489474.73,283050.93,3489505.06,282812.60,3488551.01,282691.22,3488520.68,282929.55,,,,,,
14-18,23.11,3490497.23,283181.02,3490527.56,282942.69,3489573.51,282821.31,3489543.18,283059.64,,,,,,
14-19,23.90,3489506.32,282802.68,3489537.68,282556.17,3488583.63,282434.79,3488552.27,282681.30,,,,,,
14-20,23.90,3490528.82,282932.77,3490560.18,282686.26,3489606.13,282564.88,3489574.77,282811.39,,,,,,
14-21,23.90,3489538.19,282552.20,3489569.55,282305.69,3488615.50,282184.31,3488584.14,282430.82,,,,,,
14-22,23.90,3490560.69,282682.29,3490592.05,282435.78,3489638.00,282314.40,3489606.64,282560.91,,,,,,
14-23,23.90,3489570.81,282295.76,3489602.18,282049.25,3488648.13,281927.87,3488616.76,282174.38,,,,,,
14-24,23.90,3490593.31,282425.85,3490624.68,282179.34,3489670.63,282057.96,3489639.26,282304.47,,,,,,
14-25,23.90,3489602.68,282045.28,3489634.04,281798.77,3488679.99,281677.39,3488648.63,281923.90,,,,,,
14-26,23.90,3490625.18,282175.37,3490656.54,281928.86,3489702.49,281807.48,3489671.13,282053.99,,,,,,
14-27,23.61,3489635.31,281788.85,3489666.29,281545.32,3488712.24,281423.94,3488681.26,281667.47,,,,,,
14-28,22.03,3490657.81,281918.94,3490684.64,281708.04,3489734.74,281554.03,3489703.76,281797.56,,,,,,
15-01,24.68,3490192.98,285572.92,3490225.37,285318.26,3489271.30,285197.16,3489238.93,285451.55,,,,,,
15-02,24.65,3489170.48,285442.84,3489202.84,285188.47,3488248.76,285067.36,3488216.43,285321.46,,,,,,
15-03,23.90,3490160.35,285829.36,3490191.71,285582.85,3489237.66,285461.48,3489206.30,285707.99,,,,,,
15-04,23.90,3489137.85,285699.28,3489169.21,285452.77,3488215.16,285331.39,3488183.80,285577.90,,,,,,
15-05,23.90,3490128.49,286079.86,3490159.85,285833.33,3489205.80,285711.96,3489174.44,285958.48,,,,,,
15-06,23.90,3489105.98,285949.77,3489137.35,285703.24,3488183.30,285581.86,3488151.93,285828.39,,,,,,
15-07,23.90,3490095.86,286336.27,3490127.22,286089.76,3489173.17,285968.39,3489141.81,286214.90,,,,,,
15-08,23.90,3489073.36,286206.19,3489104.72,285959.68,3488150.67,285838.30,3488119.31,286084.81,,,,,,
15-09,23.90,3490064.00,286586.75,3490095.36,286340.24,3489141.31,286218.87,3489109.95,286465.37,,,,,,
15-10,23.90,3489041.50,286456.67,3489072.86,286210.16,3488118.81,286088.78,3488087.45,286335.29,,,,,,
15-11,23.90,3490031.37,286843.18,3490062.73,286596.67,3489108.69,286475.30,3489077.32,286721.81,,,,,,
15-12,23.90,3489008.87,286713.10,3489040.23,286466.59,3488086.18,286345.21,3488054.82,286591.73,,,,,,
15-13,23.90,3489999.51,287093.66,3490030.87,286847.15,3489076.82,286725.78,3489045.46,286972.28,,,,,,
15-14,23.90,3488977.01,286963.58,3489008.37,286717.07,3488054.32,286595.69,3488022.96,286842.20,,,,,,
15-15,23.63,3489967.24,287347.37,3489998.24,287103.59,3489044.19,286982.22,3489013.18,287226.00,,,,,,
15-16,23.63,3488944.72,287217.29,3488975.74,286973.51,3488021.69,286852.13,3487990.68,287095.90,,,,,,
15-17,23.11,3489935.02,287600.58,3489965.34,287362.25,3489011.29,287240.87,3488980.97,287479.20,,,,,,
15-18,23.11,3488912.52,287470.50,3488942.84,287232.17,3487988.79,287110.79,3487958.47,287349.12,,,,,,
15-19,23.90,3489902.39,287857.01,3489933.76,287610.50,3488979.71,287489.13,3488948.34,287735.64,,,,,,
15-20,23.88,3488879.89,287726.93,3488911.25,287480.42,3487957.20,287359.34,3487925.84,287605.56,,,,,,
15-21,23.90,3489870.53,288107.49,3489901.89,287860.98,3488947.84,287739.61,3488916.48,287986.12,,,,,,
15-22,23.90,3488848.03,287977.41,3488879.39,287730.90,3487925.34,287609.52,3487893.98,287856.03,,,,,,
